Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Immune cells	CD4Tconv	CD4Tconv	GSTK1	0.4	70.0	0
0	Immune cells	CD4Tconv	CD4Tconv	CCDC109B	0.4	41.8	0
0	Immune cells	CD4Tconv	CD4Tconv	CHD1	0.4	52.9	0
0	Immune cells	CD4Tconv	CD4Tconv	RABGAP1L	0.39	41.1	0
0	Immune cells	CD4Tconv	CD4Tconv	HSP90AA1	0.39	99.2	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS13	0.39	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	HLA-C	0.39	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	COMMD6	0.39	87.2	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL5	0.39	99.6	0
0	Immune cells	CD4Tconv	CD4Tconv	IL27RA	0.39	32.1	0
0	Immune cells	CD4Tconv	CD4Tconv	GBP5	0.39	37.3	0
0	Immune cells	CD4Tconv	CD4Tconv	TRAF1	0.39	40.4	0
0	Immune cells	CD4Tconv	CD4Tconv	TNFAIP8	0.39	46.4	0
0	Immune cells	CD4Tconv	CD4Tconv	BIN2	0.39	35.6	0
0	Immune cells	CD4Tconv	CD4Tconv	RPS4Y1	0.38	60.8	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL29	0.38	99.9	0
0	Immune cells	CD4Tconv	CD4Tconv	SC5D	0.38	28.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RAP1A	0.38	56.1	0
0	Immune cells	CD4Tconv	CD4Tconv	PDCL3	0.38	42.1	0
0	Immune cells	CD4Tconv	CD4Tconv	IL2RB	0.38	45.0	0
0	Immune cells	CD4Tconv	CD4Tconv	CYLD	0.38	40.9	0
0	Immune cells	CD4Tconv	CD4Tconv	DEF6	0.38	43.4	0
0	Immune cells	CD4Tconv	CD4Tconv	CYTH1	0.38	41.1	0
0	Immune cells	CD4Tconv	CD4Tconv	CD53	0.38	59.2	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL18	0.38	100.0	0
0	Immune cells	CD4Tconv	CD4Tconv	PDE4D	0.38	43.4	0
0	Immune cells	CD4Tconv	CD4Tconv	IKZF3	0.37	30.0	0
0	Immune cells	CD4Tconv	CD4Tconv	RPL6	0.37	99.8	0
